,year,month,week,pct_서초구,pct_영등포구,pct_종로구,pct_강서구,pct_양천구,pct_강남구,pct_강동구,pct_마포구,pct_관악구,pct_노원구,pct_중랑구,pct_서대문구,pct_구로구,pct_송파구,pct_성동구,pct_동대문구,pct_도봉구,pct_용산구,pct_은평구,pct_광진구,pct_금천구,pct_성북구,pct_중구,pct_동작구,pct_강북구,pct_동남권,pct_서남권,pct_도심권,pct_서북권,pct_동북권
2164,2019,8,32,0.075382347074201,0.010665627881246253,0.08120354472709335,0.06468724717511187,-0.1295604487673624,-0.1392987482936371,0.1477186982066605,-0.002821177657361562,0.08305189969760662,-0.012122879355623506,-0.05102386837300632,-0.3349331778673945,-0.06317555500408312,0.13643610671508766,0.37061705790839183,0.14491394338840635,inf,-0.20977191785510463,-0.10247693838018246,-0.2713024567411544,-0.08826447651492153,-1.0,-0.10946739890670254,0.04208131787253366,0.5045313007581083,0.0019112146929114449,-0.024909999093281288,-0.15162701421635372,-0.08162567487911199,0.037410707519870856
2171,2019,8,33,0.1372717968219337,0.2522340004736112,-0.11571230217376294,0.038231518818906185,0.11622485069636612,0.008575239729994966,0.04769944435325213,-0.07544726521162792,-0.16329711026969695,0.14710293743507563,-1.0,0.6188393395701843,0.12472572602812071,-0.10130046110110114,0.8332622541676926,-0.1426331984125232,0.1933320132955647,0.17062586015805592,0.18104231851437214,-0.17772822401767363,0.2949135962288445,0.0,0.026602697171294043,-1.0,-0.32406651737453807,-0.0056495997755808824,0.2968748161805381,0.0796779138400241,0.06318972857547256,0.7978161680656324
2178,2019,8,34,-0.04453785024862322,-0.10946074855544119,0.35657728046494386,-0.1171503812811393,-0.11726879096008425,-0.038685491383984805,0.16696736018717373,-0.05754390807383469,0.36162051046261623,-0.1585189808967543,inf,-0.3406943190874262,-0.016674495879319795,-0.1444295176554835,-0.5130014937194738,-0.0517114115548547,-0.15036197272469032,-0.09547295503703579,-0.0828978349093028,0.306549936016713,-0.22599258634754016,0.0,-0.0249578109565477,inf,-0.07626736114968724,-0.03825291065154757,-0.2110670616307908,-0.00511667073598987,-0.1087736330793988,-0.5044008509846863
2185,2019,8,35,-0.10351736378952459,-0.12540013280097717,-0.037196182946709566,-0.06844159527695792,-0.1368769665484577,0.0301663692088896,-0.135676918159515,0.07144232628615566,-0.054797180491462316,-0.07614547528830484,0.48540136294319236,0.28251903948774504,-0.04155110686175101,0.10957384819569183,0.050302675799302365,0.024354200487630484,-0.3323227816597931,-0.14043799174037896,-0.08691600109798625,0.4608537922512588,0.09866108450196354,0.0,-0.055222448350519926,-1.0,0.16645981563453938,0.07801161212188945,-0.06921699503531609,-0.0781367333564903,0.06599486911424468,0.22581863573119398
2192,2019,9,36,0.04679411413045198,0.08279204007128405,0.03931196992089925,0.06141508142384611,0.28382766432747064,-0.045027752898340934,-0.07466046773457302,-0.04686320615378048,-0.031106514555639175,0.16682184939920863,-1.0,-0.1546777796100567,-0.047317317926265035,0.42819649590607733,0.09497039353878378,0.053918742186321644,0.13171021026604057,-0.040723404255042395,0.11639629936003204,-0.3304213457029359,-0.10031623257344546,inf,0.006369998521753795,0.0,-1.0,0.012965916472346128,0.06623543827716016,-0.0176365193378879,-0.05706334795863666,-0.11814432283726395
2199,2019,9,37,-0.06599554752886772,0.16195479288962478,0.13320397516108806,0.0030399167646828484,-0.23445928242905167,0.046762797353506524,-0.014135949462520836,-0.002946019770092345,0.4079579641979625,-1.0,0.0,-0.00749907153677376,0.1876112970175905,-0.320579159695893,0.018269204266819328,0.09410447502887931,0.2757179665539742,0.3134006906610258,-0.09116678883788021,-0.09257076411559895,-0.03498780050337458,-1.0,0.17825017556986889,inf,0.0,-0.09144769225321026,0.013272879477824961,0.22559282988345553,0.00273134851541168,0.03032716512449274
2206,2019,9,38,0.03229120032593191,-0.14921958310938022,-0.1676504340538033,0.007166653374862664,0.4694264864890576,0.1416642420537566,0.28468546891699376,0.10583807044833882,-0.427095378455691,inf,0.0,0.18175780747695636,-0.00024608678229842695,-0.0287139663296746,-0.18126782753698478,-0.1081982339873585,-0.056281068155198954,0.0697160507666632,-0.07269861877197281,0.3674443242766652,0.16313352806122894,0.0,-0.12650314882239988,0.24248668575118915,inf,0.060756519888962135,0.04221868014915242,-0.05441006014993832,0.07853049679521917,-0.06156466460189758
2213,2019,9,39,-0.009114731998771441,0.042355809356033,0.026163937052753772,-0.01924539543191106,-0.17619197725144198,-0.0527125346386057,-0.18510278150990556,-0.04880138773027187,0.1657322270593622,-0.039445031001531516,inf,-0.03359551016711182,-0.17631227818520356,0.06629971295702841,0.23641816656094106,0.0010964685162373478,0.13593237427633942,-0.018998773335565322,-0.07429272745962368,-0.24357682998586228,-0.1277162283250196,0.0,0.04110276263147106,-0.33863773104483497,0.045454545454545414,-0.0732196294588281,-0.06890206439145563,0.028350357075528132,-0.047847532672062654,-0.00604673020964519
2220,2019,9,40,0.08596406604379303,-0.01607959817759308,-0.010592749573883564,0.14288554902828166,0.20025926470043887,0.011784593395107956,0.3293661873879139,0.07169250082829381,0.1659206230646555,0.017228117620410988,0.9717056438372962,-0.02617360763297749,0.22976354885800765,0.015409002624158674,-0.27350496878001695,0.09364555383990902,0.037682132814875535,-0.07995460961476508,0.08336060504383291,0.17984318687418588,0.1023312854961651,0.0,0.8511742814508045,-0.07806193296530028,0.2636581892334344,0.1401156298229984,0.10809041503011785,0.16928032777729052,0.05646907865967132,0.014814418058342937
2227,2019,10,41,0.17276924477919486,-0.05037913130839444,0.25926030221635443,0.007920637113941309,-0.08013162149371678,-0.04911263925553233,-0.210283113530207,-0.031117871045982404,-0.09759851834881983,0.02503849126654134,-0.22430710203643578,0.019314709264397267,-0.025935243301948074,-0.08913665725264075,0.1281890192131918,-0.11296945078290355,-0.12129645134939548,0.14523196608029876,0.082479363066706,-0.17424543261675174,0.012624167108187256,inf,-0.5035516586714079,0.266943460589524,-0.11556932781370688,-0.0701574410270781,-0.036884871178772594,-0.1073181448068119,-0.011315292912155384,-0.0726173161783118
